title,location,publishedAt,companyName,description,applicationsCount,contractType,experienceLevel,workType,sector,new_title,title_cluster
ARTIFICIAL INTELLIGENCE (AI)/MACHINE LEARNING (ML) ENGINEER,"Dayton, OH",2024-05-22,"Infinite Management Solutions, LLC","Job Title: AI/ML Engineer

Location: Dayton, OH 

Infinite Management Solutions, LLC is a woman and veteran owned business that focuses on delivering results by providing innovative solutions to challenge the status quo. We have over 75 years of combined experience and are dedicated to solving complex business problems. Our staff embody Professionalism, Integrity, and Excellence while achieving each customer's desired outcome. We consistently deliver high quality results on time and in the most cost-effective manner. Our focus on continuous improvement and growth keeps us ahead of competitors. We are professional problem solvers. We improve the world of our customers and help them accelerate change by ensuring effective and flexible operations, streamlining processes, developing customer centric communications, and enabling data-driven decisions.

Job Summary:

Infinite Management Solutions (IMS) is looking for an experienced AI/ML Engineer to develop applications and systems to increase efficiency and improve business outcomes through the use of AI and machine learning tools and techniques. The AI/ML Engineer will join a multidisciplinary team focused on analyzing intelligence data and transforming the existing landscape with automated solutions and cutting-edge innovation.

Responsibilities:


 * Analyzes existing processes to clean and transform large datasets using programming languages and tools
 * Applies machine learning models to capture key information and provide actionable suggestions to stakeholders
 * Trains and finetunes AI/ML models for given datasets and algorithmic objectives
 * Works in conjunction with other engineers and SMEs on functional and process designs including prototyping, testing, training, and implementation
 * Builds efficient, self-learning applications to extract and use data to independently problem-solve, identify patterns and connections, and make predictions
 * Designs, implements, and tests NLP models and techniques for text generation, information retrieval, sentiment analysis, named entity recognition, topic modeling, and machine translation
 * Configures, codes, develops, and documents software specifications throughout the project life cycle
 * Works with integration and test teams to develop tools and methods for verification protocols and assess results
 * Employs data science and artificial intelligence methods, high performance computing, and integration of these methods into software pipelines
 * Defines subsystem requirements and acceptance criteria and selects appropriate datasets and data representation methods
 * Develops computer vision algorithms for tasks such as image classification, object detection, image segmentation, and visual recognition
 * Conducts regular performance evaluations, identifies bottlenecks, and implements optimization strategies to enhance model efficiency and accuracy
 * Explores advanced techniques in data augmentation, regularization, and model compression to improve performance and efficiency and deploys machine learning models in cloud platforms such as AWS ensuring scalability and reliability
 * Researches AI and financial services market conditions and assists in conducting feasibility studies to determine market demand for existing and new AI products or services and remains fully informed on market trends and implements best practices
 * Meets regularly with AI team and other stakeholders to present findings, explain concepts, share ideas, and develop strategy
   
   

Required Skills:


 * Superior research, analytical, and problem-solving skills
 * Excellent verbal and written communication skills
 * Thorough understanding of various analysis tools and techniques (i.e., LASSO, etc.)
 * Proven track record of developing and deploying successful machine learning models and applying AI to practical and comprehensive technology solutions
 * Extensive experience with innovation accelerators, cloud environments, programming languages and AI/ML tools (AWS, SQL, Azure, ChatGPT, Apache Hadoop (Mahout), TensorFlow, Keras, PyTorch, Python, Java, C++, etc.)
 * Knowledge of basic algorithms, object-oriented and functional design principles, and best-practice patterns
 * Experience in REST API development, NoSQL database design, and RDBMS design and optimization
   
   

Qualifications:


 * Bachelor's, Master's, or Ph.D. degree in Computer Science, Electrical Engineering, or a related field
 * Minimum 3-5 years of experience as AI/ML Engineer or similar role with significant exposure to NLP and computer vision projects
 * Meets U.S. citizenship and work eligibility requirements for federal contractors
 * Must possess or be able to obtain a Department of Defense (DOD) Secret level clearance, if required
   
   

Infinite Management Solutions, LLC (IMS) provides best in class Business Solutions and Strategic Planning Services. Our team has been at the forefront of strategy and technology for more than 50 years in the government and commercial industry. Today, our company provides Lean Six Sigma, Strategic Assessment, Executive Team Coaching, Continuous Process Improvement, Project Management, and Quality Assurance services to corporations, government, and not-for-profits. IMS partners with public and private sector clients to solve their most difficult challenges through a combination of staff-augmentation, program management, consulting, technology, systems engineering, and innovation. IMS’s dedication to excellence and our commitment to customer satisfaction is priority. We believe in our vision wholeheartedly and set an example for outstanding customer service. IMS was established on the core strength of “Professionalism, Integrity, Excellence, Diversity, and Community”.

Infinite Management Solutions, LLC is a Service-Disabled Veteran-Owned Small Business (SDVOSB) and 100% woman owned company and an equal opportunity / affirmative action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. We are also an equal opportunity employer of individuals with disabilities and protected veterans. We encourage Veterans to join our team.

Physical Requirements: While performing the duties of this job, the employee is regularly required to talk, hear, and use hands to handle or feel objects, tools, or controls. The employee is occasionally required to reach with hands and arms. Specific vision abilities required by this job include close vision. The employee must occasionally lift or move up to 25 pounds. Employee may be required to stand and walk for several hours performing various job-related duties.

This position description reflects IMS's assignment of essential functions; nothing in this job description restricts the Company's latitude to assign or reassign duties and responsibilities to this job at any time.


 * Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities
 * Please view Equal Employment Opportunity Posters provided by OFCCP here
   
   

Powered by JazzHR

r5A7IUFShk",Be among the first 25 applicants,Full-time,Mid-Senior level,Engineering and Information Technology,Internet Publishing,Generative AI Engineer,4
Machine Learning Engineer,United States,2024-05-28,Wipro,"About Wipro:

Wipro Limited (NYSE: WIT, BSE: 507685, NSE: WIPRO) is a leading technology services and consulting company focused on building innovative solutions that address clients’ most complex digital transformation needs. We leverage our holistic portfolio of capabilities in consulting, design, engineering, operations, and emerging technologies to help clients realize their boldest ambitions and build future-ready, sustainable businesses. A company recognized globally for its comprehensive portfolio of services, strong commitment to sustainability and good corporate citizenship, we have over 250,000 dedicated employees serving clients across 66 countries. We deliver on the promise of helping our customers, colleagues, and communities thrive in an ever-changing world.

 * A PROUD HISTORY OF OVER 75 YEARS
 * FY22 REVENUE 10.4 BN USD
 * WE’RE PRESENT IN 66 COUNTRIES
 * OVER 1,400 ACTIVE GLOBAL CLIENTS




Role: Machine Learning Engineer

Location: Remote (United States)

Mode of employment: Full-Time




Job Description:

1.Migration to platform solutions (such as AWS Sagemaker) from existing legacy tech stack

2.Refactoring, tuning, optimizing, containerization, and productionalizing ML solutions in recommendations domain to platform solutions (such as AWS Sagemaker)

3.Enable ML models testing, validation and automate testing framework

4.Collaborate across functional teams (including Consumer Data Sciences, MLOps Core, Platform teams) to deliver ML models in production and enable end to end testing

5.PySpark, Databricks, Python, Sagemaker, MLOps

6.Leadership capability to handle multiple squads (based on customer feedback)




Wipro is an Equal Employment Opportunity employer and makes all employment and employment-related decisions without regard to a person's race, sex, national origin, ancestry, disability, sexual orientation, or any other status protected by applicable law.",Over 200 applicants,Full-time,Mid-Senior level,Information Technology,IT Services and IT Consulting,ML/AI Engineer,0
AI/ML Engineer,"Chicago, IL",2024-03-14,Dwebtech Consulting Inc.,"Role: AI/ML Engineer

Location: Chicago, IL (2-3 days weekly, Hybrid model)

Mandatory Skills


 * Must have experience in Industrialization Algorithms, Python, AWS, Spark, ML
   
   

Must have handled terabytes of data.


 * Should have experience in writing Algorithms.
   
   

What to expect?


 * Must have 11 + years of healthcare product / application development experience.
 * Very good experience with data integration, data processing and building applications that show charts while dealing with very large scale of data in Terabytes and Multiple Data Sources
 * Implement product features that are secure, scalable, robust, and easy to implement and maintain.
 * Work with minimal supervision within self-organizing Agile teams
 * Be responsible for implementing features, provide bug fixes to ensure they work well at cloud scale.
 * Take pride of ownership in code
   
   

Good to have.


 * Experience with tools such as JIRA, Bitbucket, Confluence
 * Understanding of AWS Security, API Gateway etc.
 * Knowledge of design patterns is desirable.",37 applicants,Contract,Mid-Senior level,Engineering and Information Technology,Staffing and Recruiting,ML/AI Engineer,4
Data Scientist (Machine Learning),"Austin, TX",2024-03-15,Steneral Consulting,"Job Description

Type: Hybrid 3 days on site 2 days off site (must relocate before start date)

Looking for an experienced Machine Learning/Artificial Intelligence (AI) Engineer. The ideal candidate will also have good experience in Splunk and comes from a Data Science background.

Skill Sets Niche Skill Experience


 * Machine Learning Yes 3-5 years Is Required
 * Artificial Intelligence No 3-5 years Is Required
 * Splunk - At least 2 years
   
   

Education


 * Masters with computers or in the relavant field
   
   

Help me understand what you bring to the plate by providing answers to the qualifying questions below:

How many yrs of professional exp do you have?

What is your educational background?

What certifications do you hold?

What Technical skills are you most proficient in?

How many yrs of exp as a Machine Learning Engineer?

How many yrs of exp with AI (Artificial Intelligence) ?

How many yrs of Python programming?

Using a scale of 1 to 10, rate your Object Oriented Python programming skills

How many yrs of Java programming?

Using a scale of 1 to 10, rate your Java programming skills

How many yrs of exp do he have with the following:


 * Data Science
 * Data Preparation
 * Data collection
 * Data Modelling
 * Data Visualization
 * Create ML Model and Schemas
 * Deploy ML models
 * Monitor the model
 * ML Algorithm
 * ML Architecture
 * ML Libraries
 * ML frameworks
 * Tensorlfow
 * Scikit-learn
 * Automate end-to-end ML pipelines
 * Python
 * R
 * Splunk
 * Microservices",90 applicants,Contract,Mid-Senior level,Engineering and Information Technology,Software Development,Data Scientist,2
Machine Learning Engineer,United States,2024-02-23,Sonitalent Corp,"Job Title – Machine Learning Engineer

Job Location -Fully Remote – Need from EST

Duration - 6 Months+

Visa -USC,GC Only

Mode Of Interview - Phone/Skype

Note - Need LinkedIn

Job Description –

Machine Learning Engineer

Our client is seeking a Machine Learning Engineer to join their emerging technology group to be part of their AI and data insight journey. Additionally, this person will help drive our client's AI implementations-related technologies/solutions to address current and future business opportunities.

This role is fully remote. EST hours preferred.

Machine Learning Engineer Responsibilities


 * Solve complex problems with multilayered data sets and optimize existing machine learning libraries and frameworks.
 * Collaborate with data scientists, data engineers, and data architects on production systems and applications.
 * Identify differences in data distribution that could potentially affect model performance in real-world applications.
 * Ensure algorithms generate accurate responses.
 * Assess the effectiveness and accuracy of new data sources and execute data-wrangling techniques.
 * Develop processes and tools to monitor and analyze model performance and data accuracy.
 * No expectations of supervisory responsibility to begin with; however, this role will have multiple leadership opportunities over time – as such, candidates must be able to mentor and teach.
   
   

Machine Learning Engineer Qualifications

This person must have strong experience with prompt engineering, designing, developing/deploying ML systems, implementing appropriate ML algorithms, conducting experiments, and staying updated with the latest developments in the field. Experience working with data to create models, perform statistical analysis, and train and retrain systems to optimize performance. They must have a proven ability to drive business results with their data-based insights and be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for ML and working with stakeholders to improve business outcomes.


 * Experience building and operationalizing retrieval augmented generation (RAG) frameworks.
 * Experience utilizing LLMs to provide software automation capability integrations.
 * Experience configuring vectors databases for semantic search.
 * Experience with LangChain and sentence transformer frameworks.
 * Experience with ChatGPT4 (or comparable models).
 * Experience with MLOps.
 * Strong understanding of AI/ML cloud services and infrastructure, including how to leverage them and experience with SaaS infrastructure technologies (AWS/Azure preferred).
 * Experience using Python and SQL to manipulate data and draw insights from large data sets.
 * Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
 * A drive to learn and master new technologies and techniques.
 * Ability to quickly assimilate, organize, analyze, abstract, and synthesize large amounts of information and to make decisions based on this analysis.
 * Excellent written and verbal communication skills.
 * Ability to present and explain technical concepts to non-technical audiences.
 * Comfortable working in a dynamic and changing environment.
 * Comfortable working with loosely defined requirements where you exercise your creativity and analytical skills to deliver best-in-class solutions.
 * Self-motivated / Creative / Innovative.",Over 200 applicants,Full-time,Entry level,Engineering and Information Technology,Staffing and Recruiting,ML/AI Engineer,0
Machine Learning Engineer,"New York, NY",2024-05-14,Searchability®,"Machine Learning Engineer




WE’RE LOOKING FOR A MACHINE LEARNING ENGINEER TO BECOME AN INSTRUMENTAL PART OF OUR NEXT PHASE OF GROWTH!




 * Machine Learning Engineer
 * Hybrid in New York
 * $200,000 - $250,000 Depending on experience
 * To apply please email/ jack.crowley@searchability.com




We are a leading innovator in the AI sector, working on making machines as advanced as possible!




WHO ARE WE?

We are a high tech AI company who are shaping the way machines learn and interact with humans - If you are looking to join an exciting company, get in touch!




WHAT WILL YOU BE DOING?




You will be working on our flagship products - Assisting in the rapid deployment of products that appeal to the market we are in, with the challenge of then scaling it afterwards. This role will give you the chance to work closely with our CTO and be a vital part of our growing tech team.




WE NEED YOU TO HAVE….

 * Solid Python Experience
 * Work professionally with PyTorch
 * Solid C++ experience




IT’S NICE TO HAVE….

 * NLP/AI and ML experience
 * Open Source experience
 * Training deep neural networks
 * Work with robots a plus







TO BE CONSIDERED….

Please either apply by clicking online or emailing me directly to jack.crowley@searchability.com. I can make myself available outside of normal working hours to suit from 7am until 10pm. If unavailable, please leave a message and either myself or one of my colleagues will respond. By applying for this role, you give express consent for us to process & submit (subject to required skills) your application to our client in conjunction with this vacancy only. Also feel free to follow me on Twitter @SearchableJack or connect with me on LinkedIn, just search Jack Crowley in Google! I look forward to hearing from you.




 * Machine Learning, AI, ML, NLP, Deep Learning, Python, PyTorch",Over 200 applicants,Full-time,Mid-Senior level,Engineering and Information Technology,Software Development,ML/AI Engineer,0
Software/ML Engineer-NLP in San Francisco Bay Area/Seattle,"San Francisco, CA",2024-03-15,"HireIO, Inc.","Requirements


 * Improve the working efficiency of e-commerce merchants, influencers, and account managers to boost the growth of sellers' products, customers, and revenue
 * Participate in the optimization of sellers' operations, such as marketing insights, assortment planning, customer relationship management (CRM), anomaly detection, and diagnostic attribution
 * Participate in the optimization of merchandise operations, such as seasonal and trend analysis, supply and demand analysis, new product and product growth analysis, and improving the alignment of products and associated traffic
 * Participate in the optimization of the marketing strategies and Return on Investment (ROI) of sellers and influencers in live streaming, short video, and ShopTab
 * Analyze and conduct feature engineering for massive data such as customer profiling, e-commerce transactions, relationships between products, business opportunities, and deploy the model pipeline
 * Use techniques such as representation learning, graph modeling, causal inference, and time series forecasting to assist merchants and influencers in problem-solving and discovering growth opportunities
 * A bachelor's degree is required, with a strong preference for fields of study in computer science, statistics, and data mining
 * Experienced with feature engineering from massive raw data, such as customer/shop/influencer profiling and e-commerce transactions
 * Solid understanding and hands-on experience with data structures algorithms, machine learning models such as boosting trees, logistic regression, and clustering
 * Proficient coding skills using Python, Spark, Tensorflow/PyTorch, and other deep learning tools
 * Experience in search and recommendation systems, with an emphasis on AIGC field is a plus
 * A strong desire to learn and discover new things, result-oriented, customer-oriented, team player, and self-driven",54 applicants,Full-time,Entry level,Engineering and Information Technology,Non-profit Organizations and Primary and Secondary Education,Software Engineer/Developer,4
Data Engineer ML/AI,"Phoenix, AZ",2024-05-16,"Conch Technologies, Inc","Hi,

Greetings from Conch Technologies Inc

Position: Data Engineer (Python & ML / AI is must have )

Duration: 12+ months contract

Location: Phoenix, AZ ( Onsite from Day 1 )

Top Skill Sets


 * Python App Dev
 * Must have Machine Learning & Artificial Intelligence
 * Minimum of 6+ years of experience has been a hard requirement; we need someone very senior to lead in a complex environment.
   
   

Thanks & Regards

Nayak Teketi

Phone : 901-317-3453

Email:nayak@conchtech.com

Web: www.conchtech.com",Over 200 applicants,Contract,Mid-Senior level,Information Technology,IT Services and IT Consulting,Data Scientist,2
Machine Learning Ops Engineer at AI image-to-image startup,"San Francisco, CA",2024-05-01,Ponce AI,"Job Description

What to Expect:

We are seeking a skilled and creative ML Ops Engineer to join our team. As an ML Ops Engineer you will be responsible for utilizing open-source diffusion image generation models to develop high-quality and visually appealing photorealistic images that incorporate the cosmetic medical procedure results. You’ll work alongside our passionate team to help us build our core image generation pipelines for cosmetic procedure simulations. We plan to combine existing libraries with a manual process to implement the solution, leveraging open-source solutions like Stable Diffusion, ControlNet, Dream Booth, and LORA.

We are looking for a candidate with strong with interests in genAI image generation. As part of this role, you will be building the AI workflow for our image generation tool, which utilizes generative AI and computer vision to simulate the post-cosmetic surgery appearance of users — a “try-on” experience for beauty procedures.

Responsibilities:


 * Implement and fine-tune open-source stable diffusion image generation models to generate photorealistic images.
 * Adapt and enhance existing models to achieve optimal results.
 * Explore and experiment with cutting-edge techniques and algorithms to improve image quality and realism.
 * Optimize and fine-tune models to enhance performance and efficiency.
 * Collaborate with the engineering and design teams to integrate image generation capabilities into a web application.
 * Conduct rigorous testing and troubleshooting to identify and resolve any issues or bugs.
 * Keep up-to-date with the latest advancements in the field of image generation and deep learning so that we can incorporate all advancements into our workflow.
   
   

Qualifications:


 * Bachelor's or Master's degree in Data Science, Computer Science, Engineering, or a related field (or equivalent practical experience).
 * Strong understanding of deep learning principles, especially in the field of computer vision and image generation.
 * Proficiency in working with open-source stable diffusion image generation models, particularly those from Hugging Face and Civitai.
 * Solid programming skills in Python, with experience in frameworks such as TensorFlow or PyTorch.
 * Experience with deep learning libraries and tools, including CUDA, cuDNN, and GPU programming.
 * Familiarity with image processing techniques, algorithms, and tools.
 * Ability to analyze, troubleshoot, and optimize deep learning models for performance and efficiency.
 * Strong problem-solving skills and attention to detail.
 * Excellent communication and teamwork abilities.
   
   

Preferred Qualifications:


 * Experience working with generative adversarial networks (GANs) or variational autoencoders (VAEs).
 * Knowledge of additional programming languages, such as C++ or Java.
 * Experience with version control systems (e.g., Git) and collaborative software development practices.
   
   

Join our dynamic team and contribute to cutting-edge advancements in photorealistic image generation. If you are passionate about deep learning and have a keen eye for visual aesthetics, we look forward to receiving your application.

Company Description

Poncé's Consult Copilot introduces objective data into the consult to educate your patient’s can look their best, increasing both treatment sales and patient satisfaction at the same time.

Poncé's Consult Copilot introduces objective data into the consult to educate your patient’s can look their best, increasing both treatment sales and patient satisfaction at the same time.",Over 200 applicants,Full-time,Entry level,Engineering and Information Technology,"Technology, Information and Internet",ML/AI Engineer,4
Machine Learning Engineer,"San Francisco, CA",2024-04-09,"Unreal Staffing, Inc","Overview

Join our dynamic team as a Machine Learning Engineer to pioneer solutions that transform industries. Your role involves developing sophisticated machine learning models and deploying scalable AI systems. You'll be at the forefront of innovation, turning visionary ideas into reality.

Responsibilities


 * Design, develop, and deploy advanced machine learning models to address key business challenges
 * Collaborate with data scientists and engineers to integrate AI solutions into our products and services
 * Optimize AI systems for performance and scalability
 * Evaluate and incorporate new machine learning algorithms and frameworks to enhance our solutions
 * Conduct ongoing testing and maintenance to ensure the robustness of AI applications
   
   
   

Requirements

Qualifications


 * Bachelor's or Master's degree in Computer Science, Artificial Intelligence, or related field
 * Experience in machine learning, neural networks, or deep learning, with a track record of deploying models in production environments
 * Proficiency in programming languages such as Python, Java, or C++ and ML frameworks like TensorFlow or PyTorch
 * Strong understanding of algorithms, data structures, and software engineering principles
 * Excellent problem-solving, analytical, and technical skills
   
   
   

Benefits


 * Unlimited Paid Time Off (PTO): Encourages work-life balance and shows trust in your employees to manage their time effectively
 * Professional Development Fund: Allocate a certain budget for each employee to attend conferences, workshops, or courses of their choice, fostering continuous learning and growth
 * Remote Work Options: Even post-pandemic, the flexibility to work from anywhere can be a huge draw for talent who value the ability to travel or prefer not to relocate
 * Wellness Programs: Offer subscriptions to mental health apps, fitness memberships, or even in-office wellness activities like yoga and meditation sessions
 * Pet-Friendly Workplace: Allow employees to bring their pets to work, reducing stress and promoting a more relaxed atmosphere
 * Tech Stipend: Provide a budget for employees to set up or upgrade their home office setup, ensuring they have the tools they need to succeed
 * Four-Day Work Week: Implement a condensed workweek to promote productivity and work-life balance
 * Parental Support: Offer generous parental leave policies, childcare assistance, or even on-site childcare services
 * Sabbatical Leave: Allow employees to take an extended leave of absence after a certain period of employment to travel, pursue personal projects, or simply recharge
 * Equity or Stock Options: Give employees a stake in the company's success, aligning their interests with the company's long-term goals
 * Transportation and Parking Benefits: Provide subsidies for public transportation, electric vehicle charging stations, or free parking to ease the commute
 * Customized Career Pathing: Work with employees to design personalized career development plans, acknowledging their unique strengths and ambitions
 * Health and Safety: Offer comprehensive health insurance, including mental health coverage, and ergonomic workplace assessments to ensure physical well-being
 * Food and Snacks: Provide free meals, a well-stocked kitchen, or food allowances, especially for teams working late or in crunch times
 * Team Retreats and Offsites: Organize annual retreats in exciting locales to build team cohesion and reward hard work",Over 200 applicants,Full-time,Mid-Senior level,Engineering,Non-profit Organizations and Primary and Secondary Education,ML/AI Engineer,0
ML Engineer (L5) - Ads Platform Engineering,United States,2024-05-15,Netflix,"Netflix is one of the world's leading entertainment services with over 260 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time.

In April 2022, we introduced new, more affordable, ad-supported tier for our customers, marking a significant milestone for Netflix. Our focus is now on expanding choices for consumers and providing advertisers with a premium TV brand experience that surpasses traditional linear formats. The challenge ahead involves scaling our ad tech to maximize its impact on our business.

Our Team

The Ads Platform Engineering teams build advertising systems and integrations that powers the delivery of ads using our world-class content delivery ecosystem. We use a number of Netflix investments and innovations to power our ads - unique mix of client and server-side ad insertions, state of the art content delivery system, ad encoding recipes, content understanding and metadata. We deliver ads in a manner that’s thoughtful of our member’s viewing experience and drive great outcomes for advertisers. We also ensure that advertiser brand safety is ensured during serving, members only see the most appropriate ads for them.

Our team is new and yet faced with the enormous ambitions of building highly performant advertising systems and delivering high impact to our business by monetizing our incredible slate of content. As one of the newest entrants in the Connected TV advertising space that’s rapidly growing, we seek to build unique value propositions that help us differentiate from the competition and become a market leader in record time.

We are looking for highly motivated engineers working in the advertising space who are excited to join us on this journey.


Experience & Skills



 * Publisher-side ad tech systems including ad servers, bidders, yield optimizers, and their demand-side counterparts (SSPs/DSPs)
 * Bringing complex models to life in low-latency real-time advertising environments
 * Budgeting and Pacing systems, models, and algorithms
 * Yield Optimization, scoring, and bid ranking models and Dynamic Allocation of direct/programmatic guaranteed and non-guaranteed inventory
 * Modeling and Building Cost Per Click, Cost Per View, and Cost Per Video Complete modeling and optimization
 * Applying Modeling and machine learning techniques for business problems at the intersection of product, data science, and engineering
 * Collaborate with cross-functional stakeholders from product, engineering, operations, design, consumer research, etc., to develop and deploy models at scale
   
   
   
   

Nice To Haves



 * Contributed to an ads industry technology standard (e.g VAST, OpenRTB) or worked on an industry consortium effort, or working group.
 * Familiarity with legal compliance and the changing landscape of ad regulations around the world.
 * Experience working in the CTV space and knowledge of its unique constraints
   
   
   

Our compensation structure consists solely of an annual salary; we do not have bonuses. You choose each year how much of your compensation you want in salary versus stock options. To determine your personal top of market compensation, we rely on market indicators and consider your specific job family, background, skills, and experience to determine your compensation in the market range. The range for this role is $100,000- $720,000.

Netflix provides comprehensive benefits including Health Plans, Mental Health support, a 401(k) Retirement Plan with employer match, Stock Option Program, Disability Programs, Health Savings and Flexible Spending Accounts, Family-forming benefits, and Life and Serious Injury Benefits. We also offer paid leave of absence programs. Full-time hourly employees accrue 35 days annually for paid time off to be used for vacation, holidays, and sick paid time off. Full-time salaried employees are immediately entitled to flexible time off. See more detail about our Benefits here.

Netflix is a unique culture and environment. Learn more here.

We are an equal-opportunity employer and celebrate diversity, recognizing that diversity of thought and background builds stronger teams. We approach diversity and inclusion seriously and thoughtfully. We do not discriminate on the basis of race, religion, color, ancestry, national origin, caste, sex, sexual orientation, gender, gender identity or expression, age, disability, medical condition, pregnancy, genetic makeup, marital status, or military service.",Over 200 applicants,Full-time,Not Applicable,Engineering and Information Technology,"Entertainment Providers, Technology, Information and Internet, and Movies, Videos, and Sound",Platform Engineer,4
Machine Learning Engineer - 2024 Grad,"Cambridge, NY",2024-05-28,Kensho Technologies,"Kensho is an AI and machine learning company, centered around providing cutting-edge solutions to meet the challenges of some of the largest and most successful businesses and institutions. Our toolkit illuminates insights by helping the world better understand, process, and leverage messy data. Specifically, our solutions largely involve natural language processing (NLP) and include speech recognition (ASR), entity linking (NED), structured document extraction, automated database linking, text classification, real world applications of large language models (LLMs) and more. We are continuously expanding our portfolio and are looking for passionate engineers to help us build and deploy state-of-the-art models across a variety of domains!

Kensho is looking for graduating ML Engineers to join the group of Machine Learning Engineers working on one of the following products: Scribe, Link, Extract, NERD, or Classify. We are looking for talented people who share our passion for bringing to production robust, scalable, and highly accurate models.

Kensho is looking for ML Engineer interns to join the group of Machine Learning Engineers working on one of the following products: Scribe, Link, Extract, NERD, or Classify. We are looking for talented people who share our passion for bringing robust, scalable, and highly accurate models to production.

At Kensho, we believe in flexibility-first, and give our employees the opportunity to work from where they feel most productive and engaged (must be in the United States). We also value in-person collaboration, so there may be times when travel to one of our Kensho hubs (e.g., Cambridge, MA or NYC) will be required for team meetings or company events.

Kensho states that the anticipated base salary range for the position is 120k - 130k. In addition, this role is eligible for an annual incentive bonus and equity plans. At Kensho, it is not typical for an individual to be hired at or near the top of the range for their role and compensation decisions are dependent on the facts and circumstances of each case.

Technologies & Tools We Use:


 * Traditional ML: SKLearn, XGBoost, LightGBM
 * Deep Learning: HuggingFace, PyTorch, Transformers, GNNs, DGL, LangChain
 * Deployment: Airflow, Docker, Kubernetes, Jenkins, AWS
 * EDA/Visualization: Pandas, Matplotlib, Jupyter, Weights & Biases
 * Tools/Toolkits: DVC, NVIDIA NeMo, MosaicML, LabelBox
 * Datastores: Postgres, OpenSearch, SQLite, S3, VectorDB
   
   
   

What You’ll Do:


 * Conduct original research on large proprietary and open source data sets
 * Design, build and maintain scalable production-ready ML systems
 * Actively participate in the ML model lifecycle, from problem framing to training, deployment and monitoring in production
 * Partner with ML Operations team to deliver solutions for automating ML model lifecycle, from technical design to implementation
 * Work in a cross-functional team of ML engineers, Product Managers, Designers, Backend & Frontend engineers who are passionate about their product
   
   
   

What We Look For:


 * Outstanding people come from all different backgrounds, and we’re always interested in meeting talented people! Therefore, we do not require any particular credential or experience. If our work seems exciting to you, and you feel that you could excel in this position, we’d love to hear from you. That said, most successful candidates will fit the following profile, which reflects both our technical needs and team culture:
 * Bachelor's degree or higher with relevant classwork or internships in Machine Learning
 * Experience with advanced machine learning methods
 * Have strong statistical knowledge, intuition, and experience modeling real data
 * Have expertise in Python and Python-based ML frameworks (e.g., PyTorch or TensorFlow)
 * Demonstrated effective coding, documentation, and communication habits
 * Exercise strong communication skills and can effectively express even complicated methods and results to a broad, often non-technical audience
 * [optionally] Have published in top-tier journals and conferences in ML domain
   
   
   

At Kensho, we pride ourselves on providing top-of-market benefits, including:


 * Medical, Dental, and Vision insurance
 * 100% company paid premiums
 * Unlimited Paid Time Off
 * 26 weeks of 100% paid Parental Leave (paternity and maternity)
 * 401(k) plan with 6% employer matching
 * Generous company matching on donations to non-profit charities
 * Up to $20,000 tuition assistance toward degree programs, plus up to $4,000/year for ongoing professional education such as industry conferences
 * Plentiful snacks, drinks, and regularly catered lunches
 * Dog-friendly office (CAM office)
 * In-office gyms and showers (CAM, DC)
 * Bike sharing program memberships
 * Compassion leave and elder care leave
 * Mentoring and additional learning opportunities
 * Opportunity to expand professional network and participate in conferences and events
   
   
   

About Kensho

Kensho is an Artificial Intelligence company that builds solutions to uncover insights in messy and unstructured data that enable critical workflows and empower businesses to make decisions with conviction. We were founded in 2013 and now serve as S&P Global's innovation hub. We continue to maintain our distinct, independent brand in order to best promote our breakthrough, innovative culture. Our team of Kenshins enjoy a dynamic and collaborative work environment that runs autonomously from S&P Global, while leveraging the unparalleled breadth and depth of data and resources available as part of S&P Global. As Kenshins, we pride ourselves on maintaining an innovative culture that depends on diversity and inclusion.

We are an equal opportunity employer that welcomes future Kenshins with all experiences and perspectives. Kensho is headquartered in Cambridge, MA, with offices in New York City, and Washington D.C. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin.",Over 200 applicants,Full-time,Not Applicable,Engineering and Information Technology,Software Development,ML/AI Engineer,4
ML Engineer at 100% Remote,United States,2024-05-31,ELITE MENTE LLC,"Hello ,

Hope you are doing well!

Please do let me know if you are interested for the below role we have with our client.

ML Engineer

San Jose, CA (Remote)

Long Term contract

Visa: Any

LinkedIn must Strong for this role.

C2C

Job Description

Senior Profiles with 10 Yrs and A Master's or Ph.D. degree in Computer Science, Statistics, Data Science, or a related field.

Solid knowledge of software engineering best practices, including version control systems (e.g., Git), code reviews, and testing methodologies.

Backend Server & SDK development - programming languages (GO/GRPC, Java, Python)

GCP Vertex AI Components and SDK Experience

Experience with React UI is needed

Mandatory Skills: GoLang, Java

Optional : GCP Vertex AI, React, SDK",30 applicants,Full-time,Entry level,Engineering and Information Technology,Staffing and Recruiting,ML/AI Engineer,4
